Date,Business,Keyword,Position,Score,Label
2026-05-17 22:00,Star Bucks,best coffee KL,Not in Top 30,0,Invisible
2026-05-17 21:59,VCR,best nasi lemak KL,Not in Top 30,0,Invisible
2026-05-17 21:59,VCR,best coffee KL,#4,89,Good Visibility
2026-05-17 21:59,VCR,coffee KL,Not in Top 30,0,Invisible
2026-05-17 21:58,mixue,ice cream KL,Not in Top 30,0,Invisible
2026-05-17 21:47,vcr,best coffee KL,#4,89,Good Visibility
2026-05-17 21:46,Mixue,best ice cream KL,Not in Top 30,0,Invisible
2026-05-17 21:28,Mixue,best ice cream KL,Not Found,0,Invisible
2026-05-17 21:27,VCR,best coffee KL,4,89,Good Visibility
2026-05-17 21:27,star Bucks,best coffee KL,Not Found,0,Invisible
